PlotKey,Forb/herb,Graminoid,HL,None,Shrub,Subshrub,Tree,WL
150805120851910,0.013333333333333334,0.12000000000000001,0.5533333333333333,0.34,0.3333333333333333,NA,NA,0.08666666666666667
150805121607907,0.013333333333333334,0.19999999999999998,0.4266666666666667,0.3933333333333333,0.24,NA,0.013333333333333334,0.04
160801150634615,0.060000000000000005,0.47333333333333333,0.5466666666666666,0.24,0.2333333333333333,NA,NA,0.13333333333333333
170801155134782,0.06666666666666667,0.26,0.6466666666666666,0.48,0.16666666666666666,0.10666666666666667,NA,0.02666666666666667
170922122250959,0.013333333333333334,0.2733333333333333,0.5866666666666667,0.5733333333333334,0.24666666666666665,NA,NA,0.02666666666666667
1508051022469291,0.3066666666666667,0.3466666666666667,0.7333333333333333,0.16666666666666666,0.17333333333333334,0.013333333333333334,NA,0.02666666666666667
1508051100345780,0.04,0.09333333333333334,0.36,0.5466666666666666,0.22,0.006666666666666667,NA,NA
1508051105196584,0.02666666666666667,0.38,0.54,0.26666666666666666,0.08,0.02666666666666667,0.04,0.02
1508051136128282,0.11333333333333334,0.47333333333333333,0.49333333333333335,0.25333333333333335,0.14,0.02,0.013333333333333334,0.02
1508051139299967,0.07333333333333333,0.5866666666666667,0.58,0.16666666666666666,0.11333333333333333,NA,NA,0.04
1508051144558892,0.11333333333333334,0.10666666666666667,0.2733333333333333,0.6133333333333333,0.013333333333333334,0.006666666666666667,NA,NA
1508051156589598,0.10666666666666667,0.6133333333333334,0.5866666666666667,0.09333333333333334,0.03333333333333333,0.1,NA,0.04666666666666667
1508051202366351,0.04,0.34,0.4666666666666667,0.26666666666666666,0.15333333333333332,0.006666666666666667,NA,NA
1508051204495673,0.08,0.29333333333333333,0.6133333333333333,0.22,0.21333333333333335,0.04666666666666667,NA,0.013333333333333334
1508051212509458,0.006666666666666667,0.24666666666666667,0.46,0.3933333333333333,0.2866666666666667,NA,NA,0.02
1508051218146294,0.08,0.3666666666666667,0.6733333333333333,0.16,0.11333333333333333,0.03333333333333333,NA,0.09333333333333334
1606201300303077,0.060000000000000005,0.19333333333333336,0.5266666666666666,0.36,0.17333333333333334,0.02666666666666667,NA,0.04
1606280717268421,0.013333333333333334,0.22,0.4866666666666667,0.3466666666666667,0.20666666666666667,0.03333333333333333,NA,0.05333333333333334
1606280946049792,0.07333333333333333,0.2733333333333333,0.4866666666666667,0.31333333333333335,0.35333333333333333,0.006666666666666667,NA,0.05333333333333334
1606281439595087,0.03333333333333333,0.35333333333333333,0.6866666666666666,0.2,0.07333333333333333,0.12,NA,0.05333333333333334
1606281607269949,0.060000000000000005,0.09333333333333334,0.2733333333333333,0.38666666666666666,0.13333333333333333,0.16666666666666666,NA,0.11333333333333333
1606291521264362,0.006666666666666667,0.006666666666666667,0.38666666666666666,0.5266666666666666,0.2866666666666667,0.03333333333333333,NA,0.006666666666666667
1606291533382155,0.013333333333333334,0.006666666666666667,0.4866666666666667,0.4666666666666667,0.23333333333333334,0.07333333333333333,NA,0.006666666666666667
1606301437015102,0.006666666666666667,0.08,0.29333333333333333,0.4,0.33333333333333337,0.11333333333333334,NA,0.02666666666666667
1607111014145983,0.17333333333333334,0.49333333333333335,0.7066666666666667,0.10666666666666667,0.11333333333333333,NA,NA,0.02
1607111146582435,0.07333333333333333,0.06666666666666667,0.23333333333333334,0.64,0.1,0.05333333333333334,NA,0.013333333333333334
1607111240211548,0.03333333333333333,NA,0.25333333333333335,0.6733333333333333,0.02666666666666667,0.1,NA,NA
1607111328229217,0.19333333333333333,0.3666666666666667,0.42,0.30666666666666664,0.22,0.04,NA,0.05333333333333334
1607111428409105,0.04,0.18,0.44666666666666666,0.41333333333333333,0.3133333333333333,0.04666666666666667,NA,0.013333333333333334
1607111528245758,0.02666666666666667,0.4866666666666667,0.48,0.23333333333333334,0.12666666666666665,NA,NA,0.02666666666666667
1607111630033469,0.03333333333333333,0.25333333333333335,0.3466666666666667,0.4866666666666667,0.22666666666666668,NA,NA,0.02666666666666667
1607130836562783,0.02,0.2733333333333333,0.25333333333333335,0.44666666666666666,0.19333333333333333,0.03333333333333333,NA,0.013333333333333334
1607141548239289,0.07333333333333333,NA,0.36,0.4666666666666667,0.32666666666666666,0.04,NA,0.02666666666666667
1607150747523106,0.12000000000000001,0.23333333333333334,0.6,0.3,0.11333333333333334,0.013333333333333334,NA,0.07333333333333333
1607150848543124,0.24,0.5933333333333334,0.7266666666666667,0.12,0.06,0.006666666666666667,NA,0.02666666666666667
1607151106423529,0.03333333333333333,0.2,0.47333333333333333,0.2866666666666667,0.33999999999999997,NA,NA,0.04666666666666667
1607221316417331,0.06,0.4266666666666667,0.64,0.19333333333333333,0.17333333333333334,0.05333333333333333,NA,0.05333333333333334
1607261242373761,0.08666666666666667,0.02,0.42,0.47333333333333333,0.18,0.03333333333333333,NA,0.02
1607261400403713,0.09333333333333334,0.42000000000000004,0.6066666666666667,0.26666666666666666,0.11333333333333334,0.013333333333333334,NA,0.013333333333333334
1607261513153310,0.02666666666666667,0.08666666666666667,0.18,0.5733333333333334,0.22,0.02,NA,0.02666666666666667
1607261607234304,0.10666666666666666,0.8400000000000001,0.6666666666666666,0.06,0.06666666666666667,NA,NA,0.02
1607270743351840,0.05333333333333334,0.29333333333333333,0.34,0.41333333333333333,0.16666666666666669,0.02,NA,0.10666666666666667
1607270831559672,0.12000000000000001,0.49333333333333335,0.6333333333333333,0.2,0.16666666666666666,0.006666666666666667,NA,0.05333333333333334
1608011232206899,0.12666666666666668,0.4266666666666667,0.6466666666666666,0.16666666666666666,0.1733333333333333,NA,NA,0.14666666666666667
1608011631023302,0.04,0.22666666666666668,0.6133333333333333,0.3333333333333333,0.26,0.013333333333333334,NA,0.02
1608021636033656,0.03333333333333333,0.16666666666666669,0.5066666666666667,0.3333333333333333,0.19333333333333336,0.1,NA,0.02
1608031358567749,0.08,0.3666666666666667,0.58,0.20666666666666667,0.2733333333333333,0.006666666666666667,NA,0.013333333333333334
1608031508414280,0.08666666666666667,0.16,0.5466666666666666,0.3,0.2866666666666667,0.02666666666666667,NA,0.02
1608040733521244,0.03333333333333333,0.04666666666666667,0.44,0.41333333333333333,0.33999999999999997,NA,NA,0.02666666666666667
1611211120272718,0.02666666666666667,0.006666666666666667,0.26666666666666666,0.6066666666666667,0.20666666666666667,0.09333333333333334,NA,NA
1611221610381352,0.03333333333333333,0.5066666666666667,0.28,0.29333333333333333,0.08,NA,NA,0.013333333333333334
1708011957309320,0.03333333333333333,0.5066666666666666,0.58,0.3933333333333333,0.19999999999999998,NA,NA,0.04
1708031555568660,0.013333333333333334,0.5066666666666667,0.41333333333333333,0.4066666666666667,0.3133333333333333,NA,NA,0.013333333333333334
1708041143501593,0.060000000000000005,0.18666666666666665,0.7533333333333333,0.30666666666666664,0.45333333333333337,0.02,0.15333333333333332,0.04666666666666667
1708071606473313,0.060000000000000005,0.14666666666666667,0.7,0.38666666666666666,0.45333333333333337,0.013333333333333334,0.06666666666666667,0.08666666666666667
1708082009045600,0.02,0.25333333333333335,0.56,0.5533333333333333,0.31333333333333335,NA,NA,0.013333333333333334
1708091916211533,0.19333333333333333,0.15333333333333335,0.8666666666666667,0.32666666666666666,0.39333333333333337,0.03333333333333333,NA,0.11333333333333333
1708161903245627,0.14,0.3066666666666667,0.8333333333333334,0.2,0.6733333333333333,0.04,NA,0.07333333333333333
1708210743038551,0.15333333333333335,0.36,0.74,0.36,0.4266666666666667,0.02666666666666667,NA,0.02666666666666667
1708301948377795,0.013333333333333334,0.08,0.7,0.3933333333333333,0.5733333333333334,NA,0.03333333333333333,0.05333333333333334
1708302111558848,0.006666666666666667,NA,0.44666666666666666,0.76,NA,0.006666666666666667,0.23333333333333334,0.07333333333333333
1709051754389859,NA,0.1,0.6066666666666667,0.6333333333333333,0.18,0.02,0.10666666666666667,0.09333333333333334
1709061915266582,0.02666666666666667,0.41333333333333333,0.8,0.54,0.013333333333333334,NA,0.12666666666666668,0.04666666666666667
1709190755056056,0.013333333333333334,0.5066666666666667,0.8533333333333334,0.37333333333333335,0.02666666666666667,0.10666666666666667,NA,0.3933333333333333
1709220852306101,0.013333333333333334,0.07333333333333333,0.38,0.72,0.05333333333333334,NA,0.10666666666666667,0.07333333333333333
1709221418572786,0.006666666666666667,0.31333333333333335,0.5866666666666667,0.5133333333333333,0.21333333333333335,NA,NA,0.05333333333333334
1709250715107701,0.08666666666666667,0.36,0.6733333333333333,0.5066666666666667,0.07333333333333333,0.006666666666666667,NA,0.16
1709251004505850,NA,0.18,0.5066666666666667,0.5533333333333333,0.15333333333333335,NA,0.14666666666666667,0.02666666666666667
